Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Chad,Human rights judgment protests,19-Nov,Not free,Recurring delays in the receipt of compensation packages for human rights abuses ordered by the African Union.,Frustration over the lack of reckoning with human rights abuses perpetrated by the former regime of president Hissène Habré.,>500,Relatives of those injured or killed by the Habré government.,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,,,N'Djamena
Chad,Military rule protests,21-Apr,Not free,The military’s seizure of power in the wake of the death of longtime president Idriss Déby.,Frustration with the military’s role in politics and the proposed long time frame to return the country to civilian rule.,">1,000",General public.,"7 months, intermittently, in 2021; 1.5 months in 2022 beginning in September",No policy/leadership change in response to protests.,,,X,,Thousands,,,X,X,,N'Djamena
Chad,Re-election protests,21-Feb,Not free,President Idriss Deby's nomination by the ruling Patriotic Salvation Movement for a sixth term as president.,Frustration over lack of genuine political pluralism and the entrenchment of President Deby's regime.,">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,N'Djamena
Chile,Student stipend protest,22-Mar,Free,Rising costs of living; call for protest by the Confech student federation.,Belief that the government should raise student food and living benefits amid significant economic pressure.,">1,000",Students.,1 day,No policy/leadership change in response to protest.,,X,X,,Thousands,,,,,,Santiago
Chile,Subway fare protests,19-Oct,Free,Increased price of metro fares.,"Severe inequality, low wages and pensions, poor service delivery, discontent with government, militarized response to the protests, and demand for constitutional reform.",">1,000,000","Students, young people, professionals, civil society groups.",14 months,"The subway fare hike was reversed, and legislators agreed to a 2020 referendum over whether to write a new constitution. The referendum passed overwhelmingly in October 2020. Lawmakers recently approved a bill that permits citizens to withdraw 10 percent of their pensions to help mitigate the economic impact of the pandemic.",,X,X,X,Over 1 million,X,X,X,X,,Santiago
China,Mosque renovation protests,23-May,Not free,"Renovations were set to begin on a fourteenth century mosque in Nagu, Yunnan province.","Anger of the forced ""Sinicization"" of Islam in China.",">1,000",Hui Muslims in Nagu.,2 days,Protesters delayed the start of the renovations by occupying the mosque.,,,X,,Thousands,,,,,,Beijing
China,Coronavirus restriction protests,22-Nov,Not free,"A fire in an apartment building in Urumqi, the capital of the Xinjiang Uyghur Autonomous Region, killed 10 people. Demonstrators believed that COVID-19 restrictions, including makeshift barricades and blockaded emergency exits, hampered evacuation and rescue efforts.",Anger over continued coronavirus restrictions and lockdowns; frustration with lack of freedoms.,">1,000",General public.,2 weeks,"Municipal authorities quickly loosened conoarvirus restrictions in various cities, including Guangzhou and Chongqing. The Chinese government promised to do more to vaccinate a greater share of senior citizens. Then, in early December, the Chinese government announced sweeping changes to coronavirus restrictions, including allowing home quarantine and largely scrapping the health QR code that had been mandatory for entering most public places.",,,X,,Thousands,X,,,,X,Beijing
China,Retiree protests,23-Feb,Not free,"The government restructured the medical insurance system, cutting some government-provided medical insurance for senior citizens.",Anger over cuts to what the senior citizens believed was owed to them for their years in the labor force.,">1,000",Retirees in Wuhan and Dalian.,1 week,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Beijing
Colombia,Social and economic reform protests,23-Feb,Partly free,"The president proposed social and economic reforms that aim to combat poverty, improve security, and combat climate change.",Fears that the proposals would harm the country's economic stability or lead to increased poverty.,">1,000",Supporters of the opposition.,1 week in February 2023; 1 day in June 2023.,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Bogota
Colombia,2022 tax proposal protests,22-Sep,Partly free,President Gustavo Petro proposed economic and social reforms which were meant to increase taxes on high-earning individuals and combat inequality.,Fear of individual financial consequences of rising taxes.,">1,000",General public.,1 month,President Petro's proposal passed with slightly lower funding to expand the country's social safety net and slightly lower taxes on high-earning individuals.,,,X,,Thousands,,,,,,Bogota
Colombia,2021 tax proposal protests,21-Apr,Partly free,The government’s introduction of a proposal to raise tax rates and eliminate exemptions; a call for protests and strikes by the country’s main labor unions.,"Frustration with ongoing economic insecurity, a declining security situation, and pervasive inequality.",">10,000","Indigenous groups, labor unions, teachers, and university students.",5 months,"President Ivan Duque withdrew the tax proposal, and Finance Minister Alberto Carrasquilla resigned. A pared down version of the reform was passed in September 2021.",,X,X,,Tens of thousands,X,,X,X,X,Bogota
Colombia,Coronavirus protests,20-Mar,Partly free,"President Ivan Duque’s undermining of local and regional authorities, citizens’ claims that they were not receiving sufficient social support, and rising number of deaths from the virus.","Lack of an effective government response to the spread of the coronavirus, insufficient social support for marginalized and economically disadvantaged populations, and lack of protection for healthcare workers.",">1,000",General public.,8 months,No policy/leadership change in response to the protests.,,X,X,,Thousands,,,,X,X,Bogota
Colombia,National strikes,19-Nov,Partly free,"Rumored pensions cuts, implementation challenges of the country’s peace deal, and rising violence.","Disapproval of President Iván Duque Márquez’s government, rising economic inequality, corruption, and militarized response to protests.",">1,000,000","Students, unions, leftist groups, and indigenous groups.",4 months,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Bogota
Colombia,Police brutality protests,20-Sep,Partly free,Circulation of a video of police killing law student Javier Ordóñez by shooting him repeatedly with a stun gun.,Failure of the government to effectively address police brutality and violence.,">1,000",General public.,2 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,X,,,Bogota
Colombia,Prison protest,20-Mar,Partly free,"Unsanitary conditions in prisons, which could accelerate the spread of the coronavirus among inmates.","Unsanitary conditions in prisons, including overcrowding and lack of access to water.",Unknown,Prisoners.,1 day,"Colombia’s Ministry of Justice ordered the mass release of most nonviolent prisoners, so that they could temporarily serve their time at home.",,,X,,Thousands,X,,,,,Bogota
Comoros,Constitutional reform protests,18-Jun,Partly free,Introduction of proposed constitutional reforms that would render President Azali Assoumani eligible for another five-year term and reduce the relative power of the archipelago’s islands by eliminating the rotating vice presidency.,Concern over the entrenchment of President Azali Assoumani and lack of political pluralism.,>500,General public.,4 months,No policy/leadership change in response to protests.,,X,X,,Hundreds of thousands,X,X,X,X,,Moroni
Comoros,Electoral protests,19-Mar,Partly free,Allegations of ballot stuffing and the improper transport of ballot boxes during the 2019 presidential election.,Concerns about the lack of electoral integrity and the entrenchment of President Azali Assoumani.,">1,000","General public, especially supporters of the political opposition.",1 week,No policy/leadership change in response to protests.,,X,X,,Hundreds of thousands,,X,,,,Moroni
Comoros,Mayotte protests,18-Apr,Partly free,The expulsion of Comorian migrants in the French territory of Mayotte and the announcement of negotiations between the French and Comorian governments.,Nationalism rooted in a widespread belief in Comoros that the French-controlled island of Mayotte is an integral part of Comoros.,">1,000",General public.,1 month,No policy/leadership change in response to protests.,,X,,,Hundreds of thousands,,X,,,,Moroni
